Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Total_Productivity_Hours
70,5.40,1.30,9.20,0.10,8.00,2.69,Low,14.80
71,9.10,1.10,5.60,4.20,4.00,3.54,High,18.40
72,8.70,3.20,6.40,1.00,4.70,3.37,High,17.60
73,8.80,3.20,10.00,0.80,1.20,3.58,High,14.00
74,6.70,3.70,9.30,1.80,2.50,2.89,Moderate,14.70
75,8.80,3.00,5.50,5.40,1.30,3.58,High,18.50
76,6.60,3.60,6.90,0.10,6.80,2.99,Moderate,17.10
77,9.50,0.40,6.60,5.70,1.80,3.44,High,17.40
78,8.20,1.80,6.50,2.00,5.50,3.35,High,17.50
79,8.40,3.00,9.00,2.80,0.80,3.26,High,15.00
80,5.30,2.20,7.20,5.30,4.00,2.62,Low,16.80
81,6.80,0.50,5.70,4.60,6.40,2.86,High,18.30
82,5.40,2.80,5.40,4.90,5.50,2.86,High,18.60
83,8.50,0.30,5.40,5.90,3.90,2.99,High,18.60
84,9.10,3.80,9.90,0.90,0.30,3.08,High,14.10
85,6.90,0.30,8.90,3.40,4.50,3.21,Moderate,15.10
86,5.60,2.00,5.10,2.80,8.50,2.81,High,18.90
87,5.30,0.50,5.60,3.90,8.70,2.90,High,18.40
88,9.80,1.50,6.40,5.20,1.10,3.78,High,17.60
89,6.10,3.90,5.10,5.80,3.10,2.96,High,18.90
90,5.40,2.20,9.80,3.10,3.50,2.81,Low,14.20
91,8.10,2.80,7.30,3.60,2.20,3.39,High,16.70
92,5.20,1.10,9.80,5.30,2.60,2.82,Low,14.20
93,7.30,2.50,6.40,1.10,6.70,2.67,Moderate,17.60
94,7.90,0.30,9.90,5.80,0.10,3.08,Moderate,14.10
95,8.50,2.10,6.50,4.90,2.00,3.10,High,17.50
96,9.60,3.30,9.70,1.00,0.40,3.54,High,14.30
97,8.10,1.70,9.70,3.90,0.60,3.45,High,14.30
98,9.90,0.60,8.00,2.10,3.40,3.39,High,16.00
99,9.80,3.40,9.20,0.70,0.90,3.15,High,14.80
100,5.30,3.50,9.10,6.00,0.10,2.68,Low,14.90
101,10.00,2.20,8.80,2.80,0.20,3.41,High,15.20
102,7.30,0.50,9.80,3.60,2.80,3.22,Moderate,14.20
103,6.10,2.70,8.10,2.10,5.00,2.98,Moderate,15.90
104,7.60,3.10,7.60,4.90,0.80,2.99,Moderate,16.40
105,7.80,2.20,9.40,1.90,2.70,3.30,Moderate,14.60
106,8.50,0.90,5.70,0.10,8.80,3.55,High,18.30
107,6.80,2.40,7.00,2.60,5.20,2.97,Moderate,17.00
108,7.60,3.10,7.00,3.70,2.60,3.28,Moderate,17.00
109,9.30,3.80,5.70,4.80,0.40,3.05,High,18.30
110,7.30,3.90,7.50,1.70,3.60,3.08,Moderate,16.50
111,8.20,1.00,5.40,0.80,8.60,3.30,High,18.60
112,5.90,1.40,9.50,2.80,4.40,2.70,Low,14.50
113,8.30,0.70,6.00,0.20,8.80,3.14,High,18.00
114,5.90,0.40,5.60,2.80,9.30,2.73,High,18.40
115,6.00,1.50,7.50,4.10,4.90,2.76,Moderate,16.50
116,9.40,3.70,5.30,1.60,4.00,3.45,High,18.70
117,9.00,3.00,5.90,1.30,4.80,3.29,High,18.10
118,8.10,1.50,7.30,4.50,2.60,2.75,High,16.70
119,5.20,1.00,8.60,5.40,3.80,3.40,Low,15.40
120,5.50,1.80,7.70,1.50,7.50,3.05,Low,16.30
121,6.30,1.50,5.10,1.90,9.20,2.82,High,18.90
122,5.60,3.60,8.00,4.10,2.70,2.62,Low,16.00
123,8.90,2.00,5.40,3.20,4.50,3.64,High,18.60
124,7.20,0.50,6.40,2.20,7.70,3.19,Moderate,17.60
125,8.20,2.30,6.80,5.90,0.80,2.95,High,17.20
126,5.50,0.60,6.20,1.00,10.70,2.94,Low,17.80
127,5.90,1.10,5.90,5.40,5.70,2.89,High,18.10
128,7.10,3.90,5.60,2.40,5.00,2.90,High,18.40
129,9.80,3.50,9.10,0.40,1.20,3.57,High,14.90
130,9.60,2.20,7.90,1.20,3.10,3.24,High,16.10
131,8.80,0.70,6.60,2.60,5.30,2.99,High,17.40
132,5.60,2.40,6.40,3.50,6.10,2.85,Low,17.60
133,5.80,1.90,7.70,0.30,8.30,2.70,Low,16.30
134,5.30,4.00,6.60,4.90,3.20,2.72,Low,17.40
135,6.30,2.70,8.80,3.60,2.60,2.45,Moderate,15.20
136,6.70,3.70,9.20,4.20,0.20,2.85,Moderate,14.80
137,5.60,2.90,9.70,1.10,4.70,2.86,Low,14.30
138,7.90,3.40,5.70,4.80,2.20,3.15,High,18.30
139,6.00,0.70,5.80,4.90,6.60,2.96,High,18.20
140,6.80,3.50,7.00,4.90,1.80,3.44,Moderate,17.00
141,7.20,1.50,7.30,1.80,6.20,3.08,Moderate,16.70
142,6.20,3.60,6.90,3.30,4.00,3.27,Moderate,17.10
143,9.50,2.50,5.60,5.60,0.80,3.13,High,18.40
144,5.70,3.20,8.10,3.20,3.80,3.08,Low,15.90
145,9.50,3.20,5.80,1.70,3.80,3.59,High,18.20
146,5.20,2.30,8.80,5.30,2.40,2.61,Low,15.20
147,6.70,3.30,5.60,5.10,3.30,2.95,High,18.40
148,9.00,0.60,6.10,4.30,4.00,3.15,High,17.90
149,8.60,2.60,8.50,2.30,2.00,3.14,High,15.50
150,5.90,3.60,7.90,2.40,4.20,2.64,Low,16.10
151,7.30,3.80,5.80,3.50,3.60,3.58,High,18.20
152,5.10,3.50,9.70,3.20,2.50,2.79,Low,14.30
153,8.50,3.70,8.50,0.50,2.80,3.65,High,15.50
154,7.10,2.90,9.70,4.00,0.30,3.33,Moderate,14.30
155,7.30,0.50,9.90,5.00,1.30,3.11,Moderate,14.10
156,8.00,1.60,5.30,2.00,7.10,3.42,High,18.70
157,9.00,0.00,6.70,2.40,5.90,3.51,High,17.30
158,6.70,1.40,8.70,2.70,4.50,3.02,Moderate,15.30
159,6.10,1.80,5.70,1.10,9.30,2.38,High,18.30
160,9.60,1.40,7.90,3.20,1.90,3.43,High,16.10
161,5.10,2.70,5.90,5.80,4.50,2.71,High,18.10
162,5.40,4.00,7.50,3.60,3.50,2.59,Low,16.50
163,5.30,3.00,6.00,5.40,4.30,2.68,Low,18.00
164,5.20,1.90,7.80,0.40,8.70,2.67,Low,16.20
165,8.90,1.80,7.60,2.50,3.20,3.58,High,16.40
166,5.80,0.70,9.30,5.70,2.50,2.46,Low,14.70
167,6.90,1.10,8.20,2.50,5.30,3.22,Moderate,15.80
168,5.10,0.90,6.20,4.00,7.80,3.02,Low,17.80
169,5.10,0.40,9.00,1.10,8.40,2.52,Low,15.00
170,5.50,1.00,8.60,5.10,3.80,2.97,Low,15.40
171,9.20,1.60,8.30,1.00,3.90,3.50,High,15.70
172,5.10,0.30,6.00,0.20,12.40,2.70,Low,18.00
173,5.90,2.30,7.10,5.40,3.30,2.78,Low,16.90
174,6.30,1.50,8.00,1.60,6.60,3.15,Moderate,16.00
175,8.10,1.60,7.80,2.60,3.90,3.26,High,16.20
176,8.80,0.60,9.30,2.60,2.70,3.30,High,14.70
177,9.50,3.20,7.10,0.10,4.10,3.49,High,16.90
178,8.20,1.00,5.70,5.00,4.10,2.89,High,18.30
179,9.90,2.10,5.90,1.60,4.50,3.52,High,18.10
180,6.40,2.20,8.30,5.00,2.10,2.76,Moderate,15.70
181,6.00,0.00,5.70,5.40,6.90,2.95,High,18.30
182,8.00,2.70,5.90,5.50,1.90,3.40,High,18.10
183,7.10,1.50,7.60,0.30,7.50,3.17,Moderate,16.40
184,5.40,2.40,6.20,2.30,7.70,2.66,Low,17.80
185,6.40,1.40,8.60,1.80,5.80,2.77,Moderate,15.40
186,8.30,3.70,8.70,0.70,2.60,3.77,High,15.30
187,5.20,1.00,8.00,0.30,9.50,3.29,Low,16.00
188,6.70,3.10,5.50,0.50,8.20,2.99,High,18.50
189,8.60,2.00,8.40,2.20,2.80,3.43,High,15.60
190,9.00,2.80,6.40,3.40,2.40,3.24,High,17.60
191,6.80,0.40,9.60,0.80,6.40,3.01,Moderate,14.40
192,5.90,2.20,9.40,4.40,2.10,3.01,Low,14.60
193,9.00,2.60,8.50,3.30,0.60,3.34,High,15.50
194,6.10,4.00,9.70,0.20,4.00,2.58,Moderate,14.30
195,8.50,3.70,5.90,3.40,2.50,3.06,High,18.10
196,9.60,3.90,9.70,0.40,0.40,3.65,High,14.30
197,9.30,3.40,6.60,3.90,0.80,3.41,High,17.40
198,6.20,0.50,5.40,4.20,7.70,2.84,High,18.60
199,6.70,2.90,5.30,1.90,7.20,3.29,High,18.70
200,6.60,2.50,9.40,3.40,2.10,3.03,Moderate,14.60
201,6.20,0.10,9.40,0.10,8.20,2.95,Moderate,14.60
202,9.70,3.20,10.00,0.40,0.70,3.67,High,14.00
203,8.80,1.60,7.40,3.80,2.40,3.23,High,16.60
204,7.10,3.00,6.20,0.70,7.00,3.36,Moderate,17.80
205,6.80,1.10,6.50,1.40,8.20,3.01,Moderate,17.50
206,6.90,2.70,6.10,5.70,2.60,3.08,Moderate,17.90
207,8.90,0.40,7.10,5.30,2.30,3.33,High,16.90
208,8.10,0.70,10.00,1.20,4.00,3.35,High,14.00
209,9.70,2.60,8.00,1.90,1.80,3.33,High,16.00
210,6.10,0.70,8.90,2.10,6.20,2.81,Moderate,15.10
211,5.30,3.90,9.40,5.00,0.40,3.08,Low,14.60
212,8.50,0.60,9.10,1.30,4.50,3.16,High,14.90
213,6.10,2.10,8.00,3.50,4.30,2.79,Moderate,16.00
214,9.40,3.80,9.30,1.20,0.30,3.33,High,14.70
215,8.30,2.20,5.40,2.50,5.60,2.97,High,18.60
216,8.60,2.00,5.40,1.30,6.70,3.14,High,18.60
217,8.40,0.30,9.30,3.00,3.00,3.77,High,14.70
218,9.10,1.40,8.40,2.90,2.20,3.26,High,15.60
219,6.30,3.50,9.00,3.40,1.80,3.11,Moderate,15.00
220,8.50,2.70,8.10,3.50,1.20,3.38,High,15.90
221,5.80,3.50,9.40,0.20,5.10,2.84,Low,14.60
222,6.70,3.00,5.80,4.90,3.60,3.03,High,18.20
223,9.20,2.00,5.00,1.70,6.10,3.42,High,19.00
224,8.20,1.00,8.20,3.20,3.40,3.24,High,15.80
225,8.90,0.40,8.80,3.20,2.70,3.32,High,15.20
226,8.20,3.70,5.50,5.60,1.00,3.29,High,18.50
227,8.40,0.30,6.50,4.20,4.60,3.29,High,17.50
228,6.70,2.50,5.20,5.20,4.40,2.86,High,18.80
229,9.90,3.90,8.70,0.20,1.30,3.80,High,15.30
230,8.40,1.80,6.40,6.00,1.40,3.25,High,17.60
231,7.10,1.80,5.80,4.80,4.50,2.86,High,18.20
232,5.40,2.70,8.30,1.60,6.00,2.95,Low,15.70
233,9.80,0.60,7.20,5.70,0.70,3.84,High,16.80
234,7.00,1.10,9.90,2.50,3.50,2.84,Moderate,14.10
235,9.50,0.90,6.10,0.20,7.30,3.17,High,17.90
236,9.30,1.90,9.80,0.60,2.40,3.68,High,14.20
237,9.30,3.10,8.90,2.30,0.40,3.52,High,15.10
238,5.70,0.10,9.60,3.70,4.90,3.12,Low,14.40
239,9.00,1.90,5.60,0.80,6.70,3.21,High,18.40
240,6.00,2.00,5.30,3.50,7.20,3.26,High,18.70
241,6.30,3.20,6.60,2.70,5.20,2.85,Moderate,17.40
242,8.00,1.20,8.50,5.20,1.10,2.72,Moderate,15.50
243,8.90,0.20,7.40,0.60,6.90,3.33,High,16.60
244,8.10,2.80,7.80,0.10,5.20,2.98,High,16.20
245,6.60,2.10,5.40,2.10,7.80,2.79,High,18.60
246,7.80,2.80,9.00,0.90,3.50,3.11,Moderate,15.00
247,5.80,0.40,8.20,4.20,5.40,2.88,Low,15.80
248,8.50,3.50,8.60,2.70,0.70,3.15,High,15.40
249,6.70,3.30,5.40,5.40,3.20,3.27,High,18.60
250,7.30,2.60,7.60,4.40,2.10,3.13,Moderate,16.40
251,5.40,0.20,6.20,1.00,11.20,2.75,Low,17.80
252,9.90,1.30,5.90,4.70,2.20,3.57,High,18.10
253,8.30,2.00,7.80,4.20,1.70,3.25,High,16.20
254,6.00,2.70,5.40,0.20,9.70,2.92,High,18.60
255,6.30,1.90,9.30,4.40,2.10,2.85,Moderate,14.70
256,6.70,1.50,9.90,0.20,5.70,3.32,Moderate,14.10
257,9.30,2.30,7.20,3.80,1.40,3.61,High,16.80
258,9.50,1.70,6.40,3.60,2.80,3.42,High,17.60
259,9.60,0.80,8.10,3.50,2.00,3.31,High,15.90
260,8.60,3.60,5.90,1.40,4.50,3.37,High,18.10
261,9.90,0.70,9.30,2.00,2.10,3.59,High,14.70
262,7.20,2.10,6.80,3.60,4.30,3.01,Moderate,17.20
263,5.80,1.60,9.80,1.50,5.30,2.61,Low,14.20
264,8.90,0.50,9.80,2.20,2.60,3.57,High,14.20
265,6.20,0.30,5.80,3.10,8.60,3.13,High,18.20
266,7.20,1.00,8.10,4.20,3.50,2.98,Moderate,15.90
267,5.80,0.70,5.20,4.40,7.90,2.81,High,18.80
268,9.20,3.20,7.90,3.20,0.50,3.80,High,16.10
269,6.00,0.40,6.30,0.30,11.00,3.05,Moderate,17.70
270,5.20,0.50,7.30,5.60,5.40,2.79,Low,16.70
271,6.60,2.00,5.20,0.90,9.30,3.17,High,18.80
272,7.30,2.10,7.40,4.00,3.20,3.16,Moderate,16.60
273,5.70,0.10,6.50,4.20,7.50,2.98,Low,17.50
274,9.80,0.40,8.40,2.40,3.00,3.26,High,15.60
275,9.30,0.70,8.50,4.60,0.90,3.43,High,15.50
276,7.50,2.50,9.30,2.70,2.00,3.20,Moderate,14.70
277,5.20,3.70,8.40,4.10,2.60,2.91,Low,15.60
278,7.00,2.60,5.50,3.90,5.00,2.82,High,18.50
279,10.00,0.20,9.90,1.60,2.30,3.56,High,14.10
280,7.80,3.00,9.40,1.50,2.30,3.25,Moderate,14.60
281,6.60,2.70,9.00,4.30,1.40,2.93,Moderate,15.00
282,9.10,0.50,7.70,0.00,6.70,3.64,High,16.30
283,6.60,1.50,7.00,4.20,4.70,2.79,Moderate,17.00
284,6.20,1.50,6.10,0.40,9.80,2.50,Moderate,17.90
285,8.00,2.70,8.10,2.40,2.80,3.40,Moderate,15.90
286,7.60,1.90,5.10,2.00,7.40,3.08,High,18.90
287,6.90,1.60,7.90,3.20,4.40,3.31,Moderate,16.10
288,9.10,2.90,9.80,0.00,2.20,3.48,High,14.20
289,6.00,0.00,8.20,5.40,4.40,2.92,Moderate,15.80
290,5.30,3.70,6.80,0.60,7.60,2.78,Low,17.20
291,7.40,1.00,6.40,1.80,7.40,3.15,Moderate,17.60
292,6.60,2.40,8.60,1.60,4.80,3.27,Moderate,15.40
293,7.10,0.50,5.90,4.10,6.40,3.09,High,18.10
294,8.50,0.40,7.80,1.50,5.80,3.01,High,16.20
295,9.80,1.90,9.00,1.80,1.50,3.50,High,15.00
296,9.80,2.40,9.10,2.40,0.30,3.38,High,14.90
297,6.10,0.80,8.10,2.50,6.50,2.67,Moderate,15.90
298,8.90,1.10,9.10,2.10,2.80,3.20,High,14.90
299,8.30,0.40,8.10,2.70,4.50,3.01,High,15.90
300,8.70,3.50,6.10,0.50,5.20,3.37,High,17.90
301,5.10,2.60,8.00,3.30,5.00,2.65,Low,16.00
302,8.00,2.00,9.90,0.60,3.50,2.93,Moderate,14.10
303,8.50,1.60,7.10,4.30,2.50,3.39,High,16.90
304,6.40,0.30,5.40,5.40,6.50,3.29,High,18.60
305,6.00,1.30,6.10,2.10,8.50,2.91,Moderate,17.90
306,5.30,3.20,6.20,3.20,6.10,2.64,Low,17.80
307,9.40,2.60,7.70,1.40,2.90,3.66,High,16.30
308,10.00,2.60,7.80,2.60,1.00,3.26,High,16.20
309,7.30,0.20,7.80,5.70,3.00,3.20,Moderate,16.20
310,6.00,2.10,5.50,2.70,7.70,2.72,High,18.50
311,8.80,1.40,8.30,4.40,1.10,3.10,High,15.70
312,10.00,3.70,7.70,2.20,0.40,3.44,High,16.30
313,7.60,2.50,5.40,4.50,4.00,3.17,High,18.60
314,8.90,2.80,5.20,1.80,5.30,3.30,High,18.80
315,6.30,1.40,5.40,5.60,5.30,2.58,High,18.60
316,7.00,1.80,8.00,3.10,4.10,3.15,Moderate,16.00
317,9.60,2.00,10.00,2.00,0.40,3.46,High,14.00
318,6.90,3.50,9.30,3.50,0.80,3.02,Moderate,14.70
319,9.00,1.20,5.40,2.40,6.00,3.46,High,18.60
320,6.70,3.90,8.20,4.30,0.90,2.83,Moderate,15.80
321,5.70,3.40,9.60,2.60,2.70,3.13,Low,14.40
322,5.90,2.00,7.00,0.90,8.20,3.00,Low,17.00
323,6.80,0.30,5.10,0.80,11.00,3.03,High,18.90
324,9.80,1.70,6.60,3.00,2.90,3.58,High,17.40
325,7.20,0.40,8.20,1.30,6.90,3.39,Moderate,15.80
326,5.80,0.20,8.90,2.80,6.30,3.11,Low,15.10
327,5.30,4.00,5.30,4.20,5.20,2.67,High,18.70
328,8.50,0.20,7.50,6.00,1.80,3.21,High,16.50
329,9.10,2.50,6.50,3.70,2.20,2.85,High,17.50
330,5.70,3.50,7.20,1.20,6.40,3.04,Low,16.80
331,6.80,1.70,9.10,4.40,2.00,2.90,Moderate,14.90
332,5.10,1.00,8.80,0.80,8.30,2.25,Low,15.20
333,7.70,0.90,5.10,1.40,8.90,3.15,High,18.90
334,5.50,2.20,7.30,5.10,3.90,2.94,Low,16.70
335,5.50,2.00,5.80,1.90,8.80,2.79,High,18.20
336,6.90,1.60,7.30,4.70,3.50,3.38,Moderate,16.70
337,9.50,3.80,8.90,0.60,1.20,3.30,High,15.10
338,6.30,3.40,5.20,5.40,3.70,3.31,High,18.80
339,7.30,2.50,8.30,5.30,0.60,3.36,Moderate,15.70
340,5.30,2.10,5.80,4.40,6.40,3.11,High,18.20
341,7.60,2.70,5.20,0.50,8.00,3.07,High,18.80
342,5.40,0.00,9.80,4.40,4.40,2.85,Low,14.20
343,6.80,1.20,6.70,4.60,4.70,2.81,Moderate,17.30
344,5.90,0.40,8.30,4.60,4.80,2.99,Low,15.70
345,6.30,0.10,5.40,5.80,6.40,3.14,High,18.60
346,8.10,1.50,6.00,0.70,7.70,3.06,High,18.00
347,8.10,3.10,8.20,2.40,2.20,3.09,High,15.80
348,9.90,2.40,7.90,2.80,1.00,3.67,High,16.10
349,9.10,2.60,5.60,2.00,4.70,3.16,High,18.40
350,7.20,2.50,9.70,1.10,3.50,2.69,Moderate,14.30
351,5.60,0.80,9.40,3.90,4.30,3.01,Low,14.60
352,9.30,3.40,9.60,0.40,1.30,3.28,High,14.40
353,8.80,1.80,9.20,3.10,1.10,3.45,High,14.80
354,5.90,2.20,9.90,5.60,0.40,3.12,Low,14.10
355,5.20,0.70,5.70,4.40,8.00,2.67,High,18.30
356,7.50,3.40,8.70,2.40,2.00,3.24,Moderate,15.30
357,8.00,2.00,6.50,3.40,4.10,3.35,Moderate,17.50
358,8.20,3.00,5.80,2.80,4.20,3.31,High,18.20
359,5.00,1.00,8.60,6.00,3.40,2.71,Low,15.40
360,9.00,0.80,7.80,4.40,2.00,3.18,High,16.20
361,8.10,0.80,6.80,4.70,3.60,3.19,High,17.20
362,8.80,0.10,8.70,1.20,5.20,3.32,High,15.30
363,9.80,1.50,6.60,0.90,5.20,3.61,High,17.40
364,10.00,1.50,7.20,3.80,1.50,3.43,High,16.80
365,9.40,2.40,7.00,2.10,3.10,3.10,High,17.00
366,9.00,0.40,7.90,2.90,3.80,3.60,High,16.10
367,8.20,0.30,7.90,3.40,4.20,3.64,High,16.10
368,8.40,3.20,6.30,5.00,1.10,3.50,High,17.70
369,7.50,0.30,5.30,2.00,8.90,3.26,High,18.70
370,8.90,2.10,7.20,0.90,4.90,3.53,High,16.80
371,6.60,1.70,5.40,1.30,9.00,3.29,High,18.60
372,10.00,3.70,8.20,0.90,1.20,3.63,High,15.80
373,8.20,3.10,5.60,2.50,4.60,3.16,High,18.40
374,7.90,2.40,5.90,2.20,5.60,3.40,High,18.10
375,6.70,0.10,5.10,5.00,7.10,3.03,High,18.90
376,6.50,3.80,6.30,2.60,4.80,2.62,Moderate,17.70
377,9.40,3.40,5.90,4.30,1.00,3.18,High,18.10
378,5.70,0.30,8.60,3.00,6.40,2.28,Low,15.40
379,7.20,2.90,8.80,0.80,4.30,2.88,Moderate,15.20
380,8.80,2.60,9.80,0.20,2.60,3.38,High,14.20
381,5.30,1.10,6.30,1.50,9.80,2.75,Low,17.70
382,6.40,3.00,7.20,4.70,2.70,3.03,Moderate,16.80
383,5.30,2.00,5.20,0.40,11.10,2.31,High,18.80
384,6.70,3.60,5.10,4.00,4.60,3.18,High,18.90
385,9.80,2.20,9.70,0.10,2.20,3.16,High,14.30
386,8.70,3.90,6.30,3.30,1.80,3.20,High,17.70
387,6.00,2.30,7.30,5.80,2.60,2.58,Moderate,16.70
388,5.60,0.60,6.10,1.50,10.20,3.07,Low,17.90
389,9.30,2.20,7.60,0.60,4.30,3.48,High,16.40
390,5.30,2.80,7.70,0.50,7.70,2.93,Low,16.30
391,7.30,1.90,5.80,5.70,3.30,3.18,High,18.20
392,7.30,1.60,8.30,3.30,3.50,3.28,Moderate,15.70
393,5.30,2.10,9.00,2.80,4.80,2.67,Low,15.00
394,5.80,1.30,8.80,3.10,5.00,2.71,Low,15.20
395,6.00,3.50,9.40,4.40,0.70,2.84,Moderate,14.60
396,9.90,3.10,5.10,0.40,5.50,3.17,High,18.90
397,7.30,3.60,7.70,2.70,2.70,3.15,Moderate,16.30
398,9.10,1.50,8.90,4.30,0.20,3.21,High,15.10
399,6.00,2.10,6.40,4.80,4.70,3.27,Moderate,17.60
400,9.00,1.60,9.60,2.00,1.80,3.57,High,14.40
401,5.80,2.80,9.00,1.90,4.50,2.80,Low,15.00
402,5.90,3.60,8.30,0.90,5.30,2.80,Low,15.70
403,7.20,2.50,5.40,5.30,3.60,3.08,High,18.60
404,9.80,1.70,9.90,1.70,0.90,3.75,High,14.10
405,8.20,0.70,9.40,2.40,3.30,3.47,High,14.60
406,8.60,3.60,5.40,4.40,2.00,3.81,High,18.60
407,5.90,3.40,9.10,3.00,2.60,2.68,Low,14.90
408,7.40,3.30,7.30,2.10,3.90,3.34,Moderate,16.70
409,7.50,3.30,6.70,1.00,5.50,3.29,Moderate,17.30
410,5.50,1.00,5.70,2.10,9.70,2.93,High,18.30
411,7.30,3.00,8.30,3.40,2.00,3.29,Moderate,15.70
412,7.40,3.90,8.20,0.60,3.90,3.02,Moderate,15.80
413,8.40,1.30,8.40,0.40,5.50,3.32,High,15.60
414,6.10,3.30,6.40,3.90,4.30,2.86,Moderate,17.60
415,8.50,2.10,6.50,1.30,5.60,3.38,High,17.50
416,9.40,3.10,8.90,1.70,0.90,3.45,High,15.10
417,6.30,3.60,8.40,3.20,2.50,2.92,Moderate,15.60
418,7.30,3.50,7.70,2.10,3.40,2.90,Moderate,16.30
